 August 2022,1,Disgusting hotel with rude customer care,Disgusting hotel with rude customer care. I was struggling with almost everything at the hotel from warm room (AC wasnt working) to supply of water bottles for drinking/coffee inside the room. Everything was overpriced in comparison to the service received.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 August 2022,5,Elegance and Comfort - A wonderful combination.,It's exquisite and yet extremely comfortable to stay at. They perfected the combination without too much effort. I like everything about it and the beds is very comfortable. I also like it was a quiet hotel so not too much noise. Well done!,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,5,Definition of Luxury,"This was the most gorgeous, luxurious hotel I have ever even seen! It is worth every single penny- a must do or at least see if you’re around!! Restaurants and shopping g inside were top notch. I stayed in the Katoub view room, GORGEOUS view of the Mosque!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,5,Gorgeous,"Gorgeous decor, helpful staff. Rooms are big, well air-conditioned; free breakfast is delicious; outdoor space is nicely decorated. we were only here for a night and I noticed that during the day the main lobby doesn’t seem to have the lights turned on, though it’s bright enough with all the windows.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,5,Great hotel,"The location of the hotel is super ideal and the hotel gives you a 1001 nights feeling, it is so beautiful and breathtaking. Unfortunately, when we arrived at the hotel, we were not welcomed so friendly by the receptionist M., who works in the evenings. He even refused to answer phones if we needed anything. We passed on our complaint to the front desk manager M'hamed and since then we have had a fantastic stay and we have been lavishly looked after. Our room was spacious and beautifully decorated. The breakfast was very nice and you could eat it while enjoying a very nice terrace and beautiful view. The breakfast staff was very professional and friendly. We definitely recommend the hotel if you are in Casablanca. We would like to thank M'hamed for the good care and…",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,2,Very disappointing,"I found a number of the staff to be less than helpful. The hallways are very badly lit, and some of the public area lights only go on with motion sensors. This is definitely not what one would expect of a five star property. Furthermore, the internet is the worst hotel internet I have ever experienced.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,5,Excellent Stay,"We spent four nights at the hotel in a suite room. The service was excellent and all staff were friendly and welcoming. Excellent breakfast buffet with numerous options and a very proactive waiter who remembered our drinks orders after the first morning. The hotel arranged airport transfers and a driver during our stay for day trips to Marrakech, Fes and sightseeing in Casablanca. The driver was excellent and the car very comfortable. We visited the spa and were very happy with the massages we received. Overall I would highly recommend this as a great place to stay in Casablanca.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 June 2022,5,My Casablanca Stay,"From the moment we walked through the door to the time we left, the staff were incredibly happy and helpful. This was easily our best experience in years and the hotel owners should be very proud of their staff! The location is beautiful and the hotel was clean and well-maintained.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 July 2022,5,My vacation,The staff was professional and courteous upon arrival until my departure. They paid attention to every detail and more importantly delivered what they promised. Once we arrived about 30 minutes before the restaurant open but the still allowed us to dine and I thank them for that.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 May 2022,5,Ehab,"Relaxing and friendly staff , very good location and highly recommend to be your choice in the next trip to Casablanca, reception staff were more the friendly and helpful , efficient and professional and fast , the problem was the MIs connection WIFI",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
